,0,1
0,1,9
1,1,57
2,1,267
3,1,427
4,2,350
5,2,294
6,2,300
7,2,208
8,2,4
9,2,49
10,2,201
11,2,85
12,2,78
13,2,653
14,2,160
15,2,172
16,6,51
17,11,454
18,12,189
19,15,76
20,15,2
21,15,152
22,15,5
23,15,109
24,15,78
25,15,28
26,15,196
27,17,126
28,20,191
29,24,888
30,28,148
31,28,693
32,28,926
33,28,277
34,28,409
35,31,561
36,32,76
37,32,208
38,32,160
39,32,172
40,32,333
41,32,419
42,32,241
43,32,4
44,32,49
45,32,201
46,35,9
47,35,57
48,35,267
49,35,427
50,35,92
51,35,223
52,35,493
53,35,160
54,35,172
55,35,4
56,35,49
57,35,201
58,35,39
59,35,161
60,39,106
61,39,435
62,40,170
63,46,9
64,46,57
65,46,267
66,46,427
67,46,160
68,46,172
69,46,85
70,46,294
71,46,233
72,46,78
73,46,441
74,46,71
75,46,430
76,46,773
77,46,122
78,46,300
79,50,218
80,50,459
81,50,160
82,50,172
83,50,171
84,50,185
85,50,85
86,50,430
87,51,471
88,51,76
89,51,109
90,51,241
91,51,138
92,51,4
93,51,49
94,51,201
95,52,61
96,54,398
97,56,169
98,59,190
99,59,451
100,59,920
101,59,544
102,61,693
103,66,419
104,66,37
105,66,247
106,66,233
107,66,241
108,66,76
109,66,31
110,67,91
111,67,145
112,71,542
113,71,684
114,71,666
115,75,420
116,75,612
117,76,191
118,76,4
119,76,49
120,76,201
121,78,239
122,78,117
123,82,926
124,82,98
125,82,814
126,82,578
127,82,229
128,82,312
129,82,250
130,82,436
131,82,531
132,82,522
133,82,562
134,82,646
135,82,460
136,82,351
137,82,749
138,82,804
139,83,106
140,83,435
141,84,724
142,85,430
143,85,218
144,85,459
145,86,593
146,86,9
147,86,57
148,86,267
149,86,427
150,86,12
151,94,76
152,94,37
153,94,247
154,95,345
155,98,263
156,100,186
157,102,312
158,105,771
159,106,39
160,106,161
161,107,160
162,107,172
163,107,76
164,107,117
165,107,185
166,107,28
167,107,196
168,107,186
169,107,300
170,109,673
171,110,511
172,110,553
173,110,539
174,113,300
175,113,4
176,113,49
177,113,201
178,113,237
179,113,405
180,113,977
181,116,376
182,117,78
183,117,237
184,117,136
185,117,176
186,117,208
187,117,160
188,117,172
189,117,642
190,117,9
191,117,57
192,117,267
193,117,427
194,118,773
