,ID,Screen_name,Description,Friends_count,Follower_count,Tweet_count,Favourites_count
0,980453684206215169,takebrsocha,豊島岡70期→文二11組→経済 ブラアカTrp,542,793,4128,71060
1,1135126281186451456,BM08535138,PASSIONATE ANTHEM,209,151,1986,13380
2,101784326,dragoner_JP,軍事ライター・ブロガーだったはずが、いつのまにか色んなモノを書くようになってたヴァーチャルネット売文業者。御用はリプライかメールで dragoner★https://t.co/TL9jLWINQA (★を@に） 欲しい物リスト→ https://t.co/HAWuXjCPfq,429,44296,285650,9448
3,207158734,nonntannpu,photographer 📸ビックカメラ華桜賞 📸富士桜インスタ大賞 📖『雲を愛する技術』（光文社新書）『世界でいちばん素敵な雲の教室』荒木健太郎氏『世界でいちばん素敵な花と草木の教室』『日本の美しい花風景』( 三才ブックス)芸能、映像広告制作 NKB公式カメラマン キャンピングカージャーナル　星ナビ /D5,4936,13194,91403,345044
4,192487421,take1official,Photographer | 株式会社CURBON 代表 | 写真の会社 https://t.co/fBfUqZcdq6を運営しながら大好きな写真と映像を創ってます。 日本で写真のプリセットを販売する文化を作りました。 https://t.co/tHL1tZIton,319,22169,1353,8663
5,976283119727751169,R9OafWq89p0aiZD,お茶人文。mcc(67th)アルト。アイコンはいらすとやです。ヘッダーはカレーライス(中)が消費税率引き上げに伴い、5円値上りして264円になったショックを表しています。よろしくお願いします。,59,108,61,0
6,1001999522703147008,mlGEHCEe07PkW1B,"理系大学生趣味垢/アニメ/
サッカー/Jリーグ/ジェフが好きです！
/11,佐藤寿人/
無言フォロー失礼致します。",875,216,228,1204
7,2549710616,guitar2439,IT プログラミング 将来、VRを使ってライブを楽しめるサービスを作りたい。,201,40,40,211
8,975373414314557440,The_Point_P,uts1 B1,518,815,2770,17798
9,1193815981988036608,Gomipanda12,皮脱いでサーバル着たよー！！リーバルだよー！音楽好きでジャンルは主にナシード、アイリッシュ、ロシア、北朝鮮、日本、ゲーム系が多いよー！まぁまぁ病んでるよー！まだ書きかけだよ！よろしくねー！！,358,276,860,2527
10,3255348722,bigmother_moris,UT文→医学部ちほー,391,417,6632,89235
11,1001478220150009857,myu_srsn,しがないUTの国文学徒,638,867,21412,100250
