,0
0,3160154018
1,59557968
2,3283234868
3,1446530682
4,1198440420369240064
5,1126616684339482624
6,1114453344129409024
7,1189928363105738752
8,14890267
9,870414845744734208
10,1076308752901390336
11,1189753299106353152
12,1148868466394275840
13,992052937332408320
14,1093808825092767744
15,265150345
16,823605950535766016
17,1204823944064192512
18,1107344618524475392
19,1197806191033778176
20,1131468530195546112
21,1922576360
22,1202824970235023360
23,1047802521127809024
24,762764792
25,1196355316964712448
26,795697158729043968
27,1200303982217814016
28,1123436701072928768
29,1029638839373979648
30,109223945
31,1200756770928390144
32,1183079776178720768
33,1196967499641671680
34,1194196272359493632
35,1197709694413889536
36,1199248066387120128
37,1195979775153602560
38,823202139937746944
39,949035339695321088
40,1195651064134946816
41,1197926319729852416
42,1200756770928390144
43,3011304327
44,3192361937
45,4702002133
46,991126225
47,3295376115
48,975627282751504384
49,1138926275781746688
50,1194904465494556672
51,856194977256411136
52,1192928057033510912
53,1167031428044836864
54,1186258343259561984
55,1200778058447253504
56,1132136273852882944
57,1036873704460832768
58,1198979357114372096
59,1204669353762807808
60,1192007653267918848
61,1200390663197511680
62,952123266105135104
63,1200087942175133696
64,878920896722763776
65,1205056152842784768
66,1200757351197708288
67,1189879730968788992
68,1198116597556056064
69,1146343678992093184
70,1199580228407812096
71,1085147303730499584
72,142623108
73,1198591415128772608
74,1000236576725610496
75,1185506787778355200
76,2707911750
77,1194402208176979968
78,1169824500407357440
79,1185783925672562688
80,1202550925144936448
81,1137801912143605760
82,990414432181207040
83,960837734251184128
84,1200779682611744768
85,1142094258058346496
86,1068516158800687104
87,1196812565495435264
88,1167612325110566912
89,1153161770040733696
90,1201127451184656384
91,1105758632384307200
92,2986444718
93,1202875023884615680
94,764774644310118400
95,491990041
96,1204765174403497984
97,1125850358461263872
98,269872028
99,1197709694413889536
100,863451214280708096
101,1203187174562136064
102,1198910193419067392
103,1200343276580007936
104,3313892828
105,1176917797718245376
106,452180668
107,1199946919776333824
108,1199565735531405312
109,1110757291119120384
110,593108705
111,826311290234761216
112,96351740
113,1111033518518226944
114,1198557278313615360
115,957810327621545984
116,1063416878339567616
117,1131199763691388928
118,226052394
119,1057217465279700992
120,139470123
121,868534484584366080
122,949425770543292416
123,1141469644441579520
124,1192046682172559360
125,1155369887105077248
126,758928155339960320
127,1195852114754297856
128,4449133100
129,1183685069958873088
130,2356086036
131,118257751
132,1101473033750003712
133,932762370815836160
134,1195272125684142080
135,2954983244
136,1193564920702308352
137,1172520103407058944
138,755255778831921152
139,521200909
140,1046112891412262912
141,988985578527121408
142,1148556836338978816
143,2854393081
144,1200766998382145536
145,970945613599830016
146,18263110
147,1196269550725001216
148,1194636555370938368
149,1197709694413889536
150,4073629154
151,1200604567123251200
152,1107800390102183936
153,1189092794456895488
154,1199946919776333824
155,1166602599975530496
156,1195266862742790144
157,1197709694413889536
