,0
0,2457648126
1,980453684206215169
2,1135126281186451456
3,101784326
4,207158734
5,192487421
6,976283119727751169
7,1001999522703147008
8,2549710616
9,975373414314557440
10,1193815981988036608
11,3255348722
12,1001478220150009857
13,1176487672593825792
14,1042655947011719168
15,2295726151
16,1403144431
17,1559792528
18,811615268979888128
19,956329394087215105
20,1145922210
21,1188075433431953408
22,1084648784410247169
23,977780351194972160
24,1178869437283221504
25,110349137
26,816866416779358208
27,411135745
28,2215359576
29,3252711560
30,3034263487
31,1405186442
32,1115960245564493825
33,2384468118
34,862700030020378628
35,702409413898932226
36,350003282
37,2812238839
38,815220885015564290
39,1199236663949398016
40,1118890564370362371
41,1198380484696297472
42,968779847043395585
43,1193065295050444802
44,1110536247037124609
45,622661809
46,3308626946
47,83044244
48,996482467
49,3500629280
50,1181599518065717248
51,1202955281010847745
52,65472747
53,1053553819873726465
54,4757016896
55,1191607625558872065
56,2522488327
57,977725608724590592
58,128312396
59,562720096
60,932231367928115200
61,3200050732
62,1217569871917043712
63,1173631644563058689
64,1127666349906391041
65,1201791013884321793
66,1198829642351702016
67,882229988824498180
68,962287730062385152
69,173126073
70,136295911
71,824277446211928065
72,1210792883575349250
73,712493366479601664
74,892591889429348352
75,3302390252
76,2862510961
77,966497910941630464
78,1043019486029209600
79,2394302852
80,568703069
81,853940912514256896
82,3569701939
83,1188757191559241728
84,1205438742745378816
85,1208716045994717184
86,2974811264
87,1117740258009812992
88,980741825668329472
89,899092909286346752
90,1141849203489947648
91,74037197
92,2444667709
93,1063002119320481793
94,935871969265717249
95,864832735617073153
96,709359102
97,1156775846880800771
98,1146780628332904452
99,1130067121193381888
100,2322354343
101,4252259653
102,1129000066625105921
103,244475704
104,36315435
105,1075017325827350529
106,738226196
107,927744290360459264
108,984301655796535296
109,1118292451578404864
110,1198595164991709184
111,504384356
112,1144891840102985728
113,944821372475150338
114,151465442
115,865697969416294400
116,1007626486528872448
117,1208702123908579330
118,3846617953
119,968806031173144576
120,1130077734850293765
121,1099536932592246786
122,1135033544399413248
123,968241323240185856
124,126556975
125,826807524112216065
126,776742912704991232
127,1111054633563123712
128,1171449253945696256
129,988692481
130,246585487
131,1145962072213086208
132,1077432749516976128
133,1157153671836078080
134,977534301578276864
135,1044165561943437312
136,1840824331
137,812358551549014016
138,912122108779491328
139,1205676513934204929
140,849911306404511744
141,1093344421242761216
142,1199583920284553216
143,987669157435985921
144,1143895724460924928
145,1173923101966422016
146,55246062
147,214320430
148,877072284103483392
149,1144235172486774784
150,1029767072
151,2389621374
152,3642800892
153,1124176710209921025
154,1192951060349931520
155,964893600499691521
156,1110526437386145792
157,31420862
158,92154058
159,948417866679730178
160,2339814440
161,984026017667911682
162,950250594752581632
163,1104764093431336963
164,899240539173797889
165,1156762853056999424
166,1176094659161903104
167,2669260957
168,770521308207587328
169,414686292
170,172385031
171,2204546335
172,1170712931115290624
173,484947346
174,871714168478474240
175,896614584051564544
176,1110704090613350400
177,707564797320015872
178,454737383
179,862983436553695232
180,2607756577
181,3176743898
182,98676818
183,932312391819374593
184,834084972214382592
185,893650414880473088
186,275869293
187,1094225431367016448
188,1181540152105041920
189,753136102186229765
190,4873869242
191,101346731
192,1073037860205293568
193,2549369041
194,3119078598
195,587481434
196,1126158937789624320
197,1117862954106404864
198,1123439142539595776
199,1151100253405233153
200,1160818014750572544
201,24711311
202,3003684914
203,735757928594964481
204,1213267440756412416
205,966170245407870977
206,4694789749
207,1075342235216957441
208,96179270
209,2426860362
210,1020162996767559680
211,992773383833055232
212,138904193
213,733704407682928641
214,4832194624
215,1080081517576040448
216,1216723388086902785
217,6158672
218,714072407007334400
219,1128913943479537664
220,1177876371600633856
221,971827437293133824
222,1014076613829332992
223,185157313
224,112124526
225,981898378857431040
226,562824332
227,1141370046037417984
228,978289721905328129
229,1059040040762785792
230,1174424808202719232
231,1100499259835568128
232,973547012158210048
233,1162195935398547457
234,4647623942
235,143702513
236,3097776697
237,142451887
238,1113745806564061184
239,1043556048349540352
240,980709009203212288
241,1174618128141021189
242,1101513739499495424
243,2200728068
244,277837450
245,800611003033526273
246,884306474817671169
247,973960124418048000
248,1401587503
249,2445603973
250,1158402286600671233
251,1128970782200061952
252,1194595397928247297
253,707790660573659136
254,983725743363379200
255,983543153050267648
256,70834319
257,634355659
258,2988446388
259,323116331
260,5141011
261,109251019
262,2348245207
263,1193411948726980609
264,1159861785932922881
265,488298858
266,1108743327434698752
267,3052025342
268,752475380343185410
269,1044883734741172224
270,1133391050222067712
271,2509023140
272,22863731
273,747733061006135296
274,913237888317276160
275,1195966785247305728
276,126646092
277,705353319380709376
278,252106230
279,2585634276
280,765576266292441089
281,1109054455931035649
282,2928362778
283,14511739
284,1128255153788690432
285,1182668714136743937
286,1039413190960893952
287,3256499780
288,953286529249460225
289,91084344
290,146474040
291,1069072983812071425
292,1176832659021910017
293,3334824974
294,1090778854854090752
295,849260506481172481
296,1150677005127446528
297,2295755310
298,878547747413958656
299,1100635629661052928
300,288205810
301,851930744339419136
302,1138855887311818753
303,137857547
304,900948409804242944
305,1015455447141138433
306,1550048419
307,832518858724368384
308,1322893464
309,138362592
310,2475505717
311,488499479
312,3103292989
313,1089131678814035971
314,188539961
315,2607312612
316,3348316633
317,884610960954073088
318,1161269647372460033
319,972336181923889152
320,153482618
321,634417875
322,981002039420338177
323,61691199
324,1165495926384812032
325,187808959
326,803219031545167872
327,1188393917596614656
328,2662228099
329,1149251558061662208
330,84782143
331,2573540017
332,999626241572392966
333,215924261
334,818277858854334465
335,4722012552
336,42029826
337,1110233760727855104
338,916970816
339,1072678839694684160
340,1166568024331227136
341,5446672
342,1183776861408514049
343,1105628227639230464
344,948150403647946752
345,816647076566052865
346,4320990744
347,1203968172283424768
348,856004699303985152
349,1184352561039495168
350,1118512862857555969
351,1175976389897441281
352,907234658647130112
353,1153078653208735744
354,3314612436
355,73661746
356,934324471
357,924863102092394496
358,1137712639453220870
359,1183704627918671872
360,848479996024832001
361,2921051316
362,1186339350239502339
363,4847342077
364,1207665938427830272
365,620008257
366,8344492
367,1373365574
368,1074302011682676737
369,213550062
370,1116271978380288000
371,52685120
372,702758061769826304
373,1139497594885824512
374,4847342077
375,1207665938427830272
376,620008257
377,8344492
378,1373365574
379,1074302011682676737
380,213550062
381,1116271978380288000
382,52685120
383,702758061769826304
384,1139497594885824512
385,1079328565
386,3270391
387,122849030
388,16898233
389,755380570679418880
390,1064803484472463361
391,152199218
392,65186507
393,1078852027013259264
394,763565959642656768
395,1167827621582798849
396,870651149572907008
397,112381377
398,1118512862857555969
399,1001613714
400,716988835
401,1049626471549956097
402,917914166832140288
403,2941435638
404,736183705178243072
405,1027857829430943744
406,1189200237589479424
407,1190731158289448960
408,1104605014423527424
409,976260246422237184
410,47809727
411,55496745
412,118258621
413,959439543345664000
414,1123248517571432449
415,971627752456560640
416,1112719283790897157
417,1184585225969397760
418,978544348085215232
419,955656231774928901
420,978217300569374720
421,1200745250014167041
422,7252682
423,706382464730533888
424,1194636354556088321
425,1068854843958153216
426,816572374338314240
427,867791195702837248
428,2809273484
429,1106744232411226112
430,3186333950
431,1103866768370458624
432,765096391
433,2569022095
434,106603404
435,785270564961169408
436,1174327519010381826
437,1052468121020166146
438,746332298098814976
439,1172587609291276288
440,1190478953460322304
441,3012603158
442,3096472088
443,2462549520
