,0,1
0,1,192
1,1,230
2,1,5
3,1,50
4,1,202
5,2,242
6,3,304
7,5,225
8,7,362
9,7,137
10,7,79
11,7,110
12,8,187
13,8,13
14,9,761
15,9,1914
16,9,1400
17,9,161
18,9,173
19,9,10
20,9,58
21,9,268
22,9,428
23,9,303
24,9,883
25,10,166
26,10,186
27,10,442
28,10,219
29,10,460
30,10,5
31,10,50
32,10,202
33,11,5
34,11,50
35,11,202
36,12,1208
37,12,32
38,12,170
39,12,75
40,12,139
41,12,72
42,12,116
43,15,506
44,16,170
45,20,512
46,20,554
47,20,1707
48,20,927
49,20,128
50,20,401
51,20,106
52,20,437
53,20,532
54,20,1685
55,20,64
56,20,682
57,20,1835
58,20,540
59,20,1693
60,21,32
61,21,86
62,21,333
63,21,219
64,21,460
65,21,5
66,21,50
67,21,202
68,21,114
69,21,497
70,21,47
71,21,431
72,22,889
73,22,1977
74,22,1041
75,22,1324
76,22,1355
77,22,1506
78,22,897
79,22,409
80,22,1614
81,22,1524
82,22,439
83,23,5
84,23,50
85,23,202
86,23,1290
87,24,281
88,27,1087
89,27,1649
90,27,259
91,27,273
92,27,1609
93,27,1462
94,27,1194
95,27,1459
96,27,115
97,27,1208
98,27,1658
99,27,1665
100,28,592
101,28,1745
102,28,687
103,28,1840
104,28,146
105,28,5
106,28,50
107,28,202
108,28,10
109,28,58
110,28,268
111,28,428
112,29,139
113,29,230
114,29,5
115,29,50
116,29,202
117,29,478
118,30,870
119,30,871
120,30,619
121,30,1772
122,30,928
123,30,290
124,31,774
125,31,1927
126,31,225
127,31,5
128,31,50
129,31,202
130,32,774
131,32,1927
132,32,431
133,32,186
134,32,432
135,32,351
136,32,137
137,32,139
138,32,514
139,32,10
140,32,58
141,32,268
142,32,428
143,33,38
144,33,248
145,33,118
146,33,113
147,33,261
148,33,464
149,33,186
150,33,40
151,33,162
152,33,774
153,33,1927
154,33,301
155,33,351
156,33,5
157,33,50
158,33,202
159,33,230
160,33,238
161,36,5
162,36,50
163,36,202
164,36,186
165,36,219
166,36,460
167,36,40
168,36,162
169,36,230
170,36,67
171,37,326
172,37,103
173,37,771
174,37,1924
175,37,667
176,37,1820
177,39,744
178,39,1897
179,39,630
180,39,1783
181,40,303
182,40,883
183,40,3
184,40,774
185,40,1927
186,40,431
187,40,114
188,40,32
189,40,301
190,40,113
191,40,261
192,40,464
193,42,93
194,42,224
195,42,540
196,42,1693
197,42,682
198,42,1835
199,42,654
200,42,1807
201,44,328
202,45,804
203,45,1957
204,47,37
205,47,326
206,47,514
207,47,62
208,47,406
209,47,562
210,47,1715
211,47,186
212,47,694
213,47,1847
214,47,70
215,47,92
216,47,3
217,47,523
218,47,563
219,47,1676
220,47,1716
221,47,60
222,47,774
223,47,1927
224,49,495
225,51,113
226,51,261
227,51,464
228,51,160
229,51,432
230,51,79
231,51,230
232,51,5
233,51,50
234,51,202
235,51,295
236,52,302
237,52,172
238,52,295
239,52,1400
240,52,3
241,52,1991
242,52,1995
243,52,301
244,52,798
245,52,1951
246,52,431
247,52,377
248,52,406
249,52,186
250,53,146
251,54,1261
252,55,333
253,55,431
254,56,219
255,56,460
256,56,10
257,56,58
258,56,268
259,56,428
260,56,146
261,57,246
262,57,249
263,57,186
264,57,67
265,57,301
266,57,47
267,57,10
268,57,58
269,57,268
270,57,428
271,58,146
272,59,298
273,59,446
274,59,79
275,59,149
276,59,416
277,60,29
278,60,197
279,60,99
280,60,815
281,60,1968
282,61,107
283,61,436
284,61,493
285,62,191
286,62,1313
287,62,884
288,62,997
289,62,57
290,62,10
291,62,58
292,62,268
293,62,428
294,62,79
295,62,334
296,62,219
297,62,460
298,64,86
299,64,708
300,64,1861
301,64,442
302,64,781
303,64,1934
304,64,79
305,64,704
306,64,1857
307,64,501
308,65,621
309,65,1774
310,66,3
311,66,110
312,66,5
313,66,50
314,66,202
315,67,3
316,67,472
317,67,295
318,67,5
319,67,50
320,67,202
321,68,62
322,68,406
323,68,139
324,68,921
325,68,1078
326,68,79
327,68,295
328,68,5
329,68,50
330,68,202
331,68,219
332,68,460
333,68,146
334,68,110
335,68,10
336,68,58
337,68,268
338,68,428
339,69,242
340,70,495
341,72,57
342,72,139
343,72,219
344,72,460
345,72,230
346,73,377
347,73,10
348,73,58
349,73,268
350,73,428
351,73,5
352,73,50
353,73,202
354,73,57
355,73,774
356,73,1927
357,73,301
358,73,334
359,73,139
360,74,40
361,74,162
362,74,79
363,74,186
364,74,295
365,74,334
366,74,751
367,74,1904
368,74,168
369,74,139
370,74,10
371,74,58
372,74,268
373,74,428
374,74,5
375,74,50
376,74,202
377,75,1564
378,75,427
379,75,902
380,75,431
381,75,1976
382,75,309
383,76,63
384,77,108
385,79,472
386,79,774
387,79,1927
388,79,139
389,81,119
390,81,57
391,81,240
392,82,3
393,82,114
394,82,60
395,82,57
396,82,5
397,82,50
398,82,202
399,82,1078
400,83,219
401,83,460
402,83,5
403,83,50
404,83,202
405,83,1976
406,83,303
407,83,883
408,83,327
409,83,276
410,83,230
411,83,161
412,83,173
413,83,10
414,83,58
415,83,268
416,83,428
417,83,377
418,83,110
419,83,139
420,84,209
421,84,769
422,85,5
423,85,50
424,85,202
425,86,72
426,86,108
427,86,219
428,86,460
429,87,28
430,87,209
431,87,161
432,87,173
433,87,10
434,87,58
435,87,268
436,87,428
437,87,219
438,87,460
439,87,404
440,87,186
441,87,238
442,87,334
443,88,1599
444,88,99
445,88,815
446,88,1968
447,88,72
448,88,82
449,89,230
450,90,29
451,90,197
452,90,186
453,90,5
454,90,50
455,90,202
456,90,10
457,90,58
458,90,268
459,90,428
460,92,230
461,92,1922
462,93,512
463,93,554
464,93,1707
465,93,685
466,93,1838
467,93,674
468,93,1827
469,93,696
470,93,1849
